icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
whale-tail,marine life,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,tail,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,whale,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,animal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,aquatic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,curve,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,fins,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,mammal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,nature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,ocean,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,sea,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,shape,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,wildlife,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,ecosystem,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,environment,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,flow,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,freedom,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,movement,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,splash,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,symbol,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
whale-tail,wave,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IujpJAevTFL1hNZWauGbXEeI,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.609131,,1
