icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
windchimes,bin,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,chimes,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,delete,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,delete action,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,discard,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,harmony,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,serenity,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,sound,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,trash,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,trashcan,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,windchimes,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,aesthetics,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,balance,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,bin lid,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,bin opening,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,breeze,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,clean,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,cleanup,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,conceptual,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,decor,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,dispose,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,empty,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,garbage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,hanging,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,icon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tgRImUJeq2JhqJknxcXkPZXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.401974,,1
windchimes,meditation,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,music,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
windchimes,outdoor,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_sQ6IVZ6JiX0XoV6Yir4S4xqz,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.619003,,1
