icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
z-brick,arrangement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,blocks,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,configuration,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,organization,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,pattern,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,squares,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,structure,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,tiles,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,alignment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,formation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,grid,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,layout,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,matrix,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,modular,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,order,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,puzzle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,sequence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,tetris,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,balance,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,connectivity,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
z-brick,interconnect,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_rNLmZ4gCtwLmLIKvsM40CSpO,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.689765,,1
